Date,AAPL,AMZN,GOOGL,MSFT
2015-01-02,24.34716796875,15.425999641418457,26.412099838256836,40.23284912109375
2015-01-05,23.66127586364746,15.10949993133545,25.908843994140625,39.86288833618164
2015-01-06,23.66349983215332,14.76449966430664,25.26943016052246,39.27779769897461
2015-01-07,23.995315551757812,14.920999526977539,25.195114135742188,39.776832580566406
2015-01-08,24.91727066040039,15.02299976348877,25.282896041870117,40.94698715209961
2015-01-09,24.94399642944336,14.846500396728516,24.974159240722656,40.602840423583984
2015-01-12,24.329355239868164,14.570500373840332,24.79161262512207,40.095184326171875
2015-01-13,24.545366287231445,14.737000465393066,25.028026580810547,39.888694763183594
2015-01-14,24.45183563232422,14.66349983215332,25.2340145111084,39.544517517089844
2015-01-15,23.7882080078125,14.34749984741211,25.138254165649414,39.13152313232422
2015-01-16,23.603376388549805,14.536999702453613,25.459957122802734,39.78544616699219
2015-01-20,24.211334228515625,14.472000122070312,25.43402099609375,39.91449737548828
2015-01-21,24.396163940429688,14.862500190734863,25.955230712890625,39.51009750366211
2015-01-22,25.030845642089844,15.515999794006348,26.798643112182617,40.551212310791016
2015-01-23,25.160005569458008,15.619500160217285,27.030567169189453,40.59423065185547
2015-01-26,25.186723709106445,15.482999801635742,26.76971435546875,40.44795608520508
2015-01-27,24.304859161376953,15.337499618530273,25.99513053894043,36.70515823364258
2015-01-28,25.678884506225586,15.195500373840332,25.55821418762207,35.44034194946289
2015-01-29,26.478349685668945,15.58899974822998,25.598115921020508,36.14589309692383
2015-01-30,26.09086799621582,17.726499557495117,26.811111450195312,34.760643005371094
2015-02-02,26.41822624206543,18.223499298095703,26.544273376464844,35.51778793334961
2015-02-03,26.422683715820312,18.177499771118164,26.599138259887695,35.79313659667969
2015-02-04,26.625328063964844,18.237499237060547,26.240026473999023,35.999637603759766
2015-02-05,26.81537437438965,18.694499969482422,26.42606544494629,36.52447509765625
2015-02-06,26.589563369750977,18.714000701904297,26.62806510925293,36.49005889892578
2015-02-09,26.766191482543945,18.527999877929688,26.398632049560547,36.44704055786133
2015-02-10,27.28040885925293,18.649999618530273,26.941287994384766,36.653541564941406
2015-02-11,27.91982078552246,18.756999969482422,26.833555221557617,36.46425247192383
2015-02-12,28.273067474365234,18.85849952697754,27.23306655883789,37.07515335083008
2015-02-13,28.41168975830078,19.09149932861328,27.489931106567383,37.74626541137695
2015-02-17,28.579368591308594,18.771499633789062,27.183189392089844,37.763607025146484
2015-02-18,28.77834701538086,18.668500900268555,27.065481185913086,37.720272064208984
2015-02-19,28.717979431152344,18.950000762939453,27.25501251220703,37.69426345825195
2015-02-20,28.95273208618164,19.183000564575195,27.023086547851562,38.00623321533203
2015-02-23,29.735240936279297,19.006999969482422,26.683927536010742,38.25751495361328
2015-02-24,29.549678802490234,18.929500579833984,26.865976333618164,38.20552444458008
2015-02-25,28.793996810913086,19.26849937438965,27.298904418945312,38.11887741088867
2015-02-26,29.158416748046875,19.239999771118164,27.895427703857422,38.179534912109375
2015-02-27,28.720216751098633,19.007999420166016,28.062013626098633,37.99756622314453
2015-03-02,28.861068725585938,19.283000946044922,28.679983139038086,38.0235481262207
2015-03-03,28.921438217163086,19.230499267578125,28.868019104003906,37.503631591796875
2015-03-04,28.738094329833984,19.13599967956543,28.845073699951172,37.3129997253418
2015-03-05,28.261890411376953,19.39150047302246,28.999692916870117,37.356327056884766
2015-03-06,28.304370880126953,19.004499435424805,28.57424545288086,36.7064208984375
2015-03-09,28.425098419189453,18.92799949645996,28.634096145629883,37.13103485107422
2015-03-10,27.837100982666016,18.475500106811523,27.923357009887695,36.42045211791992
2015-03-11,27.329593658447266,18.318500518798828,27.715871810913086,36.377132415771484
2015-03-12,27.82369041442871,18.711999893188477,27.989192962646484,35.54526138305664
2015-03-13,27.63141441345215,18.52899932861328,27.581703186035156,35.857215881347656
2015-03-16,27.93547248840332,18.667499542236328,28.012636184692383,36.01320266723633
2015-03-17,28.40274429321289,18.59600067138672,27.811634063720703,36.13450622558594
2015-03-18,28.72245216369629,18.756999969482422,28.238079071044922,36.82773971557617
2015-03-19,28.505584716796875,18.66200065612793,28.1138858795166,36.645774841308594
2015-03-20,28.14786148071289,18.92449951171875,28.17772674560547,37.15701675415039
2015-03-23,28.440752029418945,18.75550079345703,28.19867515563965,37.13969421386719
2015-03-24,28.324487686157227,18.704500198364258,28.805673599243164,37.17434310913086
2015-03-25,27.584461212158203,18.54800033569336,28.27997398376465,35.9265251159668
2015-03-26,27.7767333984375,18.36750030517578,28.112388610839844,35.70991134643555
2015-03-27,27.55539894104004,18.527999877929688,27.80864143371582,35.5019416809082
2015-03-30,28.252952575683594,18.72949981689453,27.98769760131836,35.49327087402344
2015-03-31,27.819217681884766,18.604999542236328,27.666492462158203,35.23331069946289
2015-04-01,27.77897071838379,18.51300048828125,27.40663719177246,35.28530502319336
2015-04-02,28.018199920654297,18.612499237060547,26.998645782470703,34.912689208984375
2015-04-06,28.4720458984375,18.851999282836914,27.130321502685547,36.004539489746094
2015-04-07,28.172462463378906,18.720500946044922,27.175708770751953,35.987205505371094
2015-04-08,28.08079719543457,19.059999465942383,27.374216079711914,35.891876220703125
2015-04-09,28.295429229736328,19.177000045776367,27.333316802978516,35.94387435913086
2015-04-10,28.416154861450195,19.13249969482422,27.3592529296875,36.15184783935547
2015-04-13,28.360267639160156,19.118000030517578,27.364240646362305,36.18648910522461
2015-04-14,28.237295150756836,19.25550079345703,26.92233657836914,36.091190338134766
2015-04-15,28.344615936279297,19.172500610351562,26.985179901123047,36.61975860595703
